RUNNER,AGE,GENDER,EVENT COUNT
1119,N/A,N/A,0
1120,N/A,N/A,10
1121,N/A,N/A,4
1122,N/A,N/A,1
1123,N/A,N/A,1
1124,N/A,N/A,0
1125,N/A,N/A,6
1126,N/A,N/A,0
1127,N/A,N/A,0
1128,N/A,N/A,0
1129,N/A,N/A,2
1130,N/A,N/A,4
1131,N/A,N/A,8
1132,N/A,N/A,2
1133,N/A,N/A,2
1134,N/A,N/A,5
1135,N/A,N/A,2
1136,N/A,N/A,2
1137,N/A,N/A,1
1138,N/A,N/A,1
1139,N/A,N/A,4
1140,N/A,N/A,1
1141,N/A,N/A,0
