RUNNER,NAME,TYPE,DATE,DISTANCE,CATEGORY
7857,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M40-44
7857,Marathon Oasis de Montreal,half marathon,2012-09-23,21.0975,M40-44
7857,Banque Scotia 21km et 5km,21,1km,2012-04-29,-1,M40-44
4339,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,F18-24
8305,Classique Du Parc La Fontaine,10km,2014-10-19,10.0,F20-29
8305,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F18-24
8305,Demi Marathon Hypothermique,half marathon,2014-02-16,21.0975,F20-29
8305,Festi-beach du Lac a la Tortue,21km,2013-07-27,21.0,F20-29
8305,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,F20-24
8305,Demi Marathon International Oasis de Levis,half marathon,2013-05-05,21.0975,F20-29
8305,Oka Road Race,half marathon,2012-11-04,21.0975,F20-29
8305,Demi-Marathon Granby,half marathon,2012-09-09,21.0975,F20-29
8174,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F18-24
8174,Marathon Oasis de Montreal,half marathon,2012-09-23,21.0975,F18-24
6673,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F25-29
885,Marathon Oasis Rock ‘n’ Roll de Montréal,half marathon,2014-09-28,21.0975,M35-39
885,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M35-39
885,Triathlon FBL Drummondville,duathlon,2013-06-15,15.0,M35-39
885,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M35-39
7306,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M25-29
7306,Banque Scotia 21km et 5km,21,1km,2012-04-29,-1,M25-29
1368,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M45-49
1368,Marathon Oasis de Montreal,half marathon,2012-09-23,21.0975,M45-49
5649,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M40-44
5649,Course des iles,5km,2012-06-02,5.0,M40-49
5649,Banque Scotia 21km et 5km,21,1km,2012-04-29,-1,M40-44
8560,Triathlon Charlevoix,triathlon olympic,2014-07-27,-1,M45-49
8560,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M45-49
8560,Triathlon Charlevoix,triathlon olympic individuel,2013-07-28,-1,M40-49
8560,Ironman Mont-Tremblant 70.3,half ironman,2013-06-23,21.1,M45-49
8560,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M45-49
862,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M30-34
862,Coupe Dix30,30km,2014-09-07,30.0,M30-39
862,Marathon SSQ Lévis-Québec,half marathon,2014-08-24,21.0975,M30-39
862,Demi Marathon Mont-Tremblant,21km,2014-08-10,21.0,M30-39
862,Coupe Dix30,10km,2014-07-02,10.0,M30-39
862,La Foulee des Parcs,10km,2014-06-15,10.0,M30-39
862,Au rythme de nos foulées Châteauguay,half marathon,2014-05-11,21.0975,M30-39
862,A Lung Run,minto chapman mills 10km,2013-10-05,-1,M30-39
3430,Tour du Lac Brome,20km route,2014-06-15,20.0,F30-39
