RUNNER,GENDER,AGE,RAN 2011,RAN 2012,RAN 2013,RAN 2014,RAN 2015,EVENT COUNT,AVG_DIST,RUN_RATIO,TIME_WEIGHT,TOTAL DISTANCE,PERFORMANCE,AVG SPEED
6714,M,28,0,0,1,1,0,3,24.065,1.0,1.33333333333,72.195,2280.418025,2.7242955016
8415,M,41,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.77343236493
2908,F,45,0,0,0,1,1,1,21.0975,1.0,1.0,63.2925,2225.52253125,2.8092451193
5152,M,69,0,0,1,1,0,5,34.878,1.0,1.6,174.39,6260.83605,2.8108912717
7513,M,49,0,0,1,1,0,2,42.195,1.0,1.5,84.39,3560.83605,2.81293591472
1792,M,53,0,0,0,1,1,4,31.0975,0.75,1.0,260.39,11524.6270375,1.34885659014
3845,M,45,0,0,1,0,0,3,26.0975,0.666666666667,2.0,51.195,1881.418025,2.2953512054
5579,M,48,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,3.81993481803
4239,M,36,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.95193787603
3957,M,66,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.29134165367
6405,M,30,0,0,1,0,0,2,31.5975,1.0,2.0,63.195,2221.418025,2.97218078455
2817,F,36,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.36349143085
4980,M,45,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.9506993007
5612,M,33,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,3.25679221982
5895,M,24,0,0,1,0,1,1,21.0975,1.0,2.0,63.2925,2225.52253125,3.47302390082
8342,M,56,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.88118811881
6218,M,31,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.79861361181
3213,M,24,0,0,1,1,0,3,27.3983333333,1.0,1.33333333333,82.195,2580.418025,2.69308949889
5499,M,28,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.86048403498
793,M,33,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.83797417272
8595,F,33,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,0.0
3503,M,45,0,1,1,1,1,14,9.06035714286,1.0,2.78571428571,169.04,4636.55855,3.10510264608
5187,F,50,0,0,0,1,1,1,42.195,1.0,1.0,84.39,3560.83605,1.33638436688
6696,M,43,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,1.80189605842
2947,M,38,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.54370629371
7427,M,31,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.04195804196
6537,M,33,0,1,1,0,0,3,42.195,0.666666666667,2.66666666667,83.39,3561.83605,1.12983078916
1631,M,39,0,0,1,1,0,3,31.64625,0.666666666667,1.33333333333,62.2925,2226.52253125,1.64208565414
8444,M,44,0,0,1,1,0,2,31.5975,1.0,1.5,63.195,2221.418025,2.65384055321
3504,F,22,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.35122032765
2046,M,55,0,1,1,1,1,17,13.718125,0.941176470588,1.88235294118,248.49,5373.04605,3.47108055937
2878,M,61,0,1,1,0,1,4,23.5975,0.5,2.5,44.195,1808.418025,0.729822036173
1260,M,44,0,1,1,1,0,7,26.373125,0.571428571429,1.85714285714,102.4925,3118.94253125,1.65309375573
8535,F,43,0,1,1,1,1,12,22.673125,1.0,1.83333333333,314.2725,9057.19660625,2.84279441963
4540,F,28,0,1,1,1,0,5,26.371875,0.8,1.8,104.4875,3116.73154375,2.45619056743
6109,M,51,0,1,0,0,0,2,42.195,1.0,3.0,84.39,3560.83605,2.89298740831
5937,M,44,0,0,1,1,1,2,42.195,1.0,1.5,105.39,4001.83605,3.20576506566
2152,M,29,0,0,1,1,0,3,31.64625,0.666666666667,1.33333333333,62.2925,2226.52253125,1.82702231806
1062,M,61,0,1,0,0,0,1,5.0,1.0,3.0,5.0,25.0,2.33317778815
